Name,Date,Details,Description
Dolgo 19. stoletje: Škofja Loka od leta 1803 do 1914,15. februar 2024,"Škofja Loka info@loski-muzej.si, 04 517 04 00 Kulturna prireditev ","Razstava skozi izbrana poglavja prikazuje utrip življenja in razvoj Škofje Loke, Selške in Poljanske doline z Žirmi od leta 1803, ko je bilo Loško gospostvo podržavljeno, do leta 1914, ko se je začela prva svetovna vojna. Posamezni tematski sklopi se med sabo prepletajo in so umeščeni v širši kontekst velikih zgodovinskih prelomnic avstrijske monarhije, evropskega prostora in nenazadnje sveta.
»Dolgo 19. stoletje« na Loškem je tako zaobjeto s predstavitvijo upravnih sprememb v Ilirskih provincah in avstrijski monarhiji, kulta cesarja, velike revolucije imenovane 'pomlad narodov', društvenega življenja, izzivov na kmetijskem in gospodarskem področju, delovanja šolstva in zdravstva, naravnih katastrof ter vsakdanjega življenja, ki je bilo neločljivo prepleteno s cerkvenim koledarjem in prazniki.

V prizadevanjih za povečevanje dostopnosti razstavnih vsebin, so besedila prevedena v lahko branje in brajico, video vsebine podnaslovljene, posebej označeni predmeti pa so na voljo za dotik.

Vabljeni!

Foto: Veduta Škofje Loke, Wagnerjeve vedute Kranjske, 1842–1848
Več: info@loski-muzej.si, 04 517 04 00
"
Borut Cencel: Smisel življenja,15. februar 2024,Škofja Loka Sokolski dom Škofja Loka razstava ,"Februarja si lahko v
Preddverju Sokolskega doma Škofja Loka ogledate razstavo z naslovom Smisel življenja.
Svoje slike razstavlja Borut Cencel, ki se je rodil v Šentvidu
pri Stični, življenjska pot pa ga je pripeljala v Kranj, kjer živi že štiri
leta. Vedno je rad risal in slikal, sedaj pa se s slikarstvom intenzivno
ukvarja zadnja tri leta. V tem času je razvil svoj slikarski izraz.
Motive upodablja na
lesonit ali platno. Njegove slike spominjajo na naivno slikarstvo, všeč pa so
mu motivi, ki se zgledujejo v nadrealizmu.
V naravo gre slikat
malokdaj, saj najraje slika doma. Slikanje mu pomeni sprostitev.
Razstavo si lahko
ogledate vse do 25. 2. 2024 v delovnem času Sokolskega doma:
·        torek–petek: 10.00–12.00 in 17.00–19.00,
·        sobota: 9.30–12.30,
·        nedelja: 9.30–12.30 in 17.00–19.00,
·        ponedeljek in prazniki: zaprto.

Več: Zavod 973, ema.nunar@zavod973.si, Sokolski dom Škofja Loka: 04 511 23 35
"
LEGO ROBOTIKA za osnovnošolce,15. februar 2024,Škofja Loka Mladinski oddelek Knjižnice Ivana Tavčarja Škofja Loka Tečaj za otroke ,"Vabljeni na celoletni tečaj lego robotike za osnovnošolce.
Na tečaju se bodo učenci naučili programirati na zabaven in praktičen način.
Mlajši učenci bodo gradili in spoznali, kako delujejo mehanske naprave.
Termini od:  14.45 do 16.15; od 16.30 do 18.00; od 18.15 do
19.45.

Več: Tilen – Inštitut 4.0: 040 331 881
"
Razstava fotokluba Anton Ažbe,15. februar 2024,Gorenja vas - Poljane Galerija Šubičeve hiše Poljane Razstava ,"
Več info:
051 200 890
zavod@poljanskadolina.com
www.subicevahisa.si
"
"Ophéliejino odkrivanje Škofje Loke skozi oči Toneta Mlakarja, razstava fotografij mesta med letoma 1950 in 1970 in leta 2022",16. februar 2024,"Škofja Loka Okrogli stolp, Loški muzej Škofja Loka Kulturni dogodek ","Razstava predstavlja podobe škofjeloške stavbne in urbanistične kulturne dediščine nekoč in danes. Vključuje nabor fotografij iz arhiva Toneta Mlakarja, ki je več kot pet desetletij beležil kroniko Škofje Loke, njene arhitekture in prebivalcev, urbane in podeželske kulturne krajine. Barvne fotografije na razstavi je posnela Ophélie Chapuis iz Francije, študentka umetnostne zgodovine, kulturnega posredovanja in kuriranja razstav na Univerzi v Toursu, ki je bila prostovoljka v okviru Zavoda O v Škofji Loki. V tem času je delala tudi v Loškem muzeju, kjer sta ji nekdanji vodja projektov Branka Gradišar in kustosinja Nina Misson predlagali, da med digitaliziranjem arhiva Toneta Mlakarja pripravi izbor fotografij Škofje Loke in izbrane fotografije tudi sama poustvari. V muzeju smo želeli s tem hkrati spodbuditi drugačne načine raziskovanja stavbne dediščine Škofje Loke: Ophélie Chapuis, le kratek čas živeča v Loki, tako rekoč turistka, se je odpravila po mestnih ulicah v iskanju zgodovine, ki jo je v objektiv ujel Tone Mlakar.

Vabljeni!

Foto: 
Levo: Tone Mlakar, Cerkev Marije Brezmadežne, ok. 1960
Desno: Ophélie Chapuis, Cerkev Marije Brezmadežne, 2022
Več: info@loski-muzej.si, 04 517 04 00
"
Dolgo 19. stoletje: Škofja Loka od leta 1803 do 1914,16. februar 2024,"Škofja Loka info@loski-muzej.si, 04 517 04 00 Kulturna prireditev ","Razstava skozi izbrana poglavja prikazuje utrip življenja in razvoj Škofje Loke, Selške in Poljanske doline z Žirmi od leta 1803, ko je bilo Loško gospostvo podržavljeno, do leta 1914, ko se je začela prva svetovna vojna. Posamezni tematski sklopi se med sabo prepletajo in so umeščeni v širši kontekst velikih zgodovinskih prelomnic avstrijske monarhije, evropskega prostora in nenazadnje sveta.
»Dolgo 19. stoletje« na Loškem je tako zaobjeto s predstavitvijo upravnih sprememb v Ilirskih provincah in avstrijski monarhiji, kulta cesarja, velike revolucije imenovane 'pomlad narodov', društvenega življenja, izzivov na kmetijskem in gospodarskem področju, delovanja šolstva in zdravstva, naravnih katastrof ter vsakdanjega življenja, ki je bilo neločljivo prepleteno s cerkvenim koledarjem in prazniki.

V prizadevanjih za povečevanje dostopnosti razstavnih vsebin, so besedila prevedena v lahko branje in brajico, video vsebine podnaslovljene, posebej označeni predmeti pa so na voljo za dotik.

Vabljeni!

Foto: Veduta Škofje Loke, Wagnerjeve vedute Kranjske, 1842–1848
Več: info@loski-muzej.si, 04 517 04 00
"
Borut Cencel: Smisel življenja,16. februar 2024,Škofja Loka Sokolski dom Škofja Loka razstava ,"Februarja si lahko v
Preddverju Sokolskega doma Škofja Loka ogledate razstavo z naslovom Smisel življenja.
Svoje slike razstavlja Borut Cencel, ki se je rodil v Šentvidu
pri Stični, življenjska pot pa ga je pripeljala v Kranj, kjer živi že štiri
leta. Vedno je rad risal in slikal, sedaj pa se s slikarstvom intenzivno
ukvarja zadnja tri leta. V tem času je razvil svoj slikarski izraz.
Motive upodablja na
lesonit ali platno. Njegove slike spominjajo na naivno slikarstvo, všeč pa so
mu motivi, ki se zgledujejo v nadrealizmu.
V naravo gre slikat
malokdaj, saj najraje slika doma. Slikanje mu pomeni sprostitev.
Razstavo si lahko
ogledate vse do 25. 2. 2024 v delovnem času Sokolskega doma:
·        torek–petek: 10.00–12.00 in 17.00–19.00,
·        sobota: 9.30–12.30,
·        nedelja: 9.30–12.30 in 17.00–19.00,
·        ponedeljek in prazniki: zaprto.

Več: Zavod 973, ema.nunar@zavod973.si, Sokolski dom Škofja Loka: 04 511 23 35
"
Gledališki tečaj,16. februar 2024,"Škofja Loka Martinova hiša, Mestni trg 26, Škofja Loka in KD Ivana Cankarja, Sv. Duh kulturna prireditev ","Gledališki tečaj je namenjen vsem, ki jih zanimata oder in poklic igralca brez starostne omejitve. Začenjamo z individualnimi urami učenja igre, sproščanja telesa, odpiranja glasu in dihalnih vaj ter izboljšave retorike preko nastopov. 
Mentorja sta: Nadja Strajnar Zadnik in Vid Zadnik
Društvo Glasba – Drama vabi k vpisu v gledališki tečaj otroke, dijake, študente in odrasle. 
V Knjižnici Jožeta Mazovca bo v torek, 6.2. 2024 ob 19. uri  literarni večer z naslovom: Moj pogled na Ivana Tavčarja, Franja Košenini, poročena Tavčar. Vabljeni!
V Sokolskem domu Škofja Loka bo 17. 2. 2024 ob 10. uri v okviru otroškega glasbenega abonmaja predstava Leteča žaba. Vabljeni!  

Več: Nadja Strajnar Zadnik
GSM:031 511 781
e-mail: nadja.strajnar@hotmail.com;
              nadja.strajnar@gmail.com 

"
ŠE VEDNO ALICE,16. februar 2024,Škofja Loka Loški oder Škofja Loka Gledališka predstava ,"16. 2. 2024 ob 19.30, za abonma MODRI in IZVEN
17. 2. 2024 ob 19.30, za abonma RDEČI in IZVEN
Gostuje SNG Drama Ljubljana.

Gostuje SNG Drama Ljubljana.
Več: Ana Babnik, 041 730 982,
 gledalisce@kd-loskioder.si

"
"Ophéliejino odkrivanje Škofje Loke skozi oči Toneta Mlakarja, razstava fotografij mesta med letoma 1950 in 1970 in leta 2022",17. februar 2024,"Škofja Loka Okrogli stolp, Loški muzej Škofja Loka Kulturni dogodek ","Razstava predstavlja podobe škofjeloške stavbne in urbanistične kulturne dediščine nekoč in danes. Vključuje nabor fotografij iz arhiva Toneta Mlakarja, ki je več kot pet desetletij beležil kroniko Škofje Loke, njene arhitekture in prebivalcev, urbane in podeželske kulturne krajine. Barvne fotografije na razstavi je posnela Ophélie Chapuis iz Francije, študentka umetnostne zgodovine, kulturnega posredovanja in kuriranja razstav na Univerzi v Toursu, ki je bila prostovoljka v okviru Zavoda O v Škofji Loki. V tem času je delala tudi v Loškem muzeju, kjer sta ji nekdanji vodja projektov Branka Gradišar in kustosinja Nina Misson predlagali, da med digitaliziranjem arhiva Toneta Mlakarja pripravi izbor fotografij Škofje Loke in izbrane fotografije tudi sama poustvari. V muzeju smo želeli s tem hkrati spodbuditi drugačne načine raziskovanja stavbne dediščine Škofje Loke: Ophélie Chapuis, le kratek čas živeča v Loki, tako rekoč turistka, se je odpravila po mestnih ulicah v iskanju zgodovine, ki jo je v objektiv ujel Tone Mlakar.

Vabljeni!

Foto: 
Levo: Tone Mlakar, Cerkev Marije Brezmadežne, ok. 1960
Desno: Ophélie Chapuis, Cerkev Marije Brezmadežne, 2022
Več: info@loski-muzej.si, 04 517 04 00
"
Dolgo 19. stoletje: Škofja Loka od leta 1803 do 1914,17. februar 2024,"Škofja Loka info@loski-muzej.si, 04 517 04 00 Kulturna prireditev ","Razstava skozi izbrana poglavja prikazuje utrip življenja in razvoj Škofje Loke, Selške in Poljanske doline z Žirmi od leta 1803, ko je bilo Loško gospostvo podržavljeno, do leta 1914, ko se je začela prva svetovna vojna. Posamezni tematski sklopi se med sabo prepletajo in so umeščeni v širši kontekst velikih zgodovinskih prelomnic avstrijske monarhije, evropskega prostora in nenazadnje sveta.
»Dolgo 19. stoletje« na Loškem je tako zaobjeto s predstavitvijo upravnih sprememb v Ilirskih provincah in avstrijski monarhiji, kulta cesarja, velike revolucije imenovane 'pomlad narodov', društvenega življenja, izzivov na kmetijskem in gospodarskem področju, delovanja šolstva in zdravstva, naravnih katastrof ter vsakdanjega življenja, ki je bilo neločljivo prepleteno s cerkvenim koledarjem in prazniki.

V prizadevanjih za povečevanje dostopnosti razstavnih vsebin, so besedila prevedena v lahko branje in brajico, video vsebine podnaslovljene, posebej označeni predmeti pa so na voljo za dotik.

Vabljeni!

Foto: Veduta Škofje Loke, Wagnerjeve vedute Kranjske, 1842–1848
Več: info@loski-muzej.si, 04 517 04 00
"
Borut Cencel: Smisel življenja,17. februar 2024,Škofja Loka Sokolski dom Škofja Loka razstava ,"Februarja si lahko v
Preddverju Sokolskega doma Škofja Loka ogledate razstavo z naslovom Smisel življenja.
Svoje slike razstavlja Borut Cencel, ki se je rodil v Šentvidu
pri Stični, življenjska pot pa ga je pripeljala v Kranj, kjer živi že štiri
leta. Vedno je rad risal in slikal, sedaj pa se s slikarstvom intenzivno
ukvarja zadnja tri leta. V tem času je razvil svoj slikarski izraz.
Motive upodablja na
lesonit ali platno. Njegove slike spominjajo na naivno slikarstvo, všeč pa so
mu motivi, ki se zgledujejo v nadrealizmu.
V naravo gre slikat
malokdaj, saj najraje slika doma. Slikanje mu pomeni sprostitev.
Razstavo si lahko
ogledate vse do 25. 2. 2024 v delovnem času Sokolskega doma:
·        torek–petek: 10.00–12.00 in 17.00–19.00,
·        sobota: 9.30–12.30,
·        nedelja: 9.30–12.30 in 17.00–19.00,
·        ponedeljek in prazniki: zaprto.

Več: Zavod 973, ema.nunar@zavod973.si, Sokolski dom Škofja Loka: 04 511 23 35
"
ŠE VEDNO ALICE,17. februar 2024,Škofja Loka Loški oder Škofja Loka Gledališka predstava ,"16. 2. 2024 ob 19.30, za abonma MODRI in IZVEN
17. 2. 2024 ob 19.30, za abonma RDEČI in IZVEN
Gostuje SNG Drama Ljubljana.

Gostuje SNG Drama Ljubljana.
Več: Ana Babnik, 041 730 982,
 gledalisce@kd-loskioder.si

"
Otroški glasbeni abonma | Leteča žaba,17. februar 2024,Škofja Loka Sokolski dom Škofja Loka Glasbena pravljica ,"Zdolgočasena žaba živi v mlaki in toguje
nad svojim življenjem. Rada bi počela kaj, kar bi vsi občudovali. Svojo željo
zaupa sovi, kačjemu pastirju, rački in drugim živalim ter se domisli, da bo
izvedla prvi in edinstveni žabji polet v vesolje.
Ko okoliške živali pripravijo Festival
polne lune, je žabin polet v vesolje glavna točka. V čisti tišini in močni
koncentraciji se žaba začne napihovati tako močno, da jo začne odnašati v
višave. In zares poleti! A v trenutku, ko je bila z mislimi že v vesolju, se je
razpočila in treščila nazaj v mlako.
Saj poznate rek: Kdor visoko leta, nizko
pade.
"
Dnevi Škofjeloškega pasijona 2024 Pasijonsko romanje na Brezje,17. februar 2024,Škofja Loka Škofja Loka–Brezje–Škofja Loka Romanje ,"Pasijonko romanje na Brezje je
tradicionalna prireditev, ki jo organizira Prosvetno društvo Sotočje Škofja
Loka.
Več: Prosvetno društvo Sotočje Škofja Loka, Martin Krajnik, martin.krajnik@gmail.com, 031 356 645

Zavod 973,
ema.nunar@zavod973.si
"
Dnevi Škofjeloškega pasijona 2024 Postne delavnice | Slikanje postnega prta,17. februar 2024,"Škofja Loka Učilnica v župnišču v Stari Loki Kulturna prireditev, Likovna delavnica ","Postne delavnice bo vodila akademska
slikarka Agata Pavlovec. Vabljeni mladi in odrasli, ki radi rišete, slikate,
ustvarjate in vas zanima, kaj so postni prti in čemu so namenjeni.
17.
februar 2024, 16.00–18.00,
24. februar 2024, 16.00–18.00 in
2. marec 2024, 16.00–18.00
Več: Župnijski zavod sv. Jurija Stara Loka, Urška Florjančič, 031 261 813, urska.florjancic@telemach.net

Zavod 973,
ema.nunar@zavod973.si
"
"Ophéliejino odkrivanje Škofje Loke skozi oči Toneta Mlakarja, razstava fotografij mesta med letoma 1950 in 1970 in leta 2022",18. februar 2024,"Škofja Loka Okrogli stolp, Loški muzej Škofja Loka Kulturni dogodek ","Razstava predstavlja podobe škofjeloške stavbne in urbanistične kulturne dediščine nekoč in danes. Vključuje nabor fotografij iz arhiva Toneta Mlakarja, ki je več kot pet desetletij beležil kroniko Škofje Loke, njene arhitekture in prebivalcev, urbane in podeželske kulturne krajine. Barvne fotografije na razstavi je posnela Ophélie Chapuis iz Francije, študentka umetnostne zgodovine, kulturnega posredovanja in kuriranja razstav na Univerzi v Toursu, ki je bila prostovoljka v okviru Zavoda O v Škofji Loki. V tem času je delala tudi v Loškem muzeju, kjer sta ji nekdanji vodja projektov Branka Gradišar in kustosinja Nina Misson predlagali, da med digitaliziranjem arhiva Toneta Mlakarja pripravi izbor fotografij Škofje Loke in izbrane fotografije tudi sama poustvari. V muzeju smo želeli s tem hkrati spodbuditi drugačne načine raziskovanja stavbne dediščine Škofje Loke: Ophélie Chapuis, le kratek čas živeča v Loki, tako rekoč turistka, se je odpravila po mestnih ulicah v iskanju zgodovine, ki jo je v objektiv ujel Tone Mlakar.

Vabljeni!

Foto: 
Levo: Tone Mlakar, Cerkev Marije Brezmadežne, ok. 1960
Desno: Ophélie Chapuis, Cerkev Marije Brezmadežne, 2022
Več: info@loski-muzej.si, 04 517 04 00
"
Dolgo 19. stoletje: Škofja Loka od leta 1803 do 1914,18. februar 2024,"Škofja Loka info@loski-muzej.si, 04 517 04 00 Kulturna prireditev ","Razstava skozi izbrana poglavja prikazuje utrip življenja in razvoj Škofje Loke, Selške in Poljanske doline z Žirmi od leta 1803, ko je bilo Loško gospostvo podržavljeno, do leta 1914, ko se je začela prva svetovna vojna. Posamezni tematski sklopi se med sabo prepletajo in so umeščeni v širši kontekst velikih zgodovinskih prelomnic avstrijske monarhije, evropskega prostora in nenazadnje sveta.
»Dolgo 19. stoletje« na Loškem je tako zaobjeto s predstavitvijo upravnih sprememb v Ilirskih provincah in avstrijski monarhiji, kulta cesarja, velike revolucije imenovane 'pomlad narodov', društvenega življenja, izzivov na kmetijskem in gospodarskem področju, delovanja šolstva in zdravstva, naravnih katastrof ter vsakdanjega življenja, ki je bilo neločljivo prepleteno s cerkvenim koledarjem in prazniki.

V prizadevanjih za povečevanje dostopnosti razstavnih vsebin, so besedila prevedena v lahko branje in brajico, video vsebine podnaslovljene, posebej označeni predmeti pa so na voljo za dotik.

Vabljeni!

Foto: Veduta Škofje Loke, Wagnerjeve vedute Kranjske, 1842–1848
Več: info@loski-muzej.si, 04 517 04 00
"
Borut Cencel: Smisel življenja,18. februar 2024,Škofja Loka Sokolski dom Škofja Loka razstava ,"Februarja si lahko v
Preddverju Sokolskega doma Škofja Loka ogledate razstavo z naslovom Smisel življenja.
Svoje slike razstavlja Borut Cencel, ki se je rodil v Šentvidu
pri Stični, življenjska pot pa ga je pripeljala v Kranj, kjer živi že štiri
leta. Vedno je rad risal in slikal, sedaj pa se s slikarstvom intenzivno
ukvarja zadnja tri leta. V tem času je razvil svoj slikarski izraz.
Motive upodablja na
lesonit ali platno. Njegove slike spominjajo na naivno slikarstvo, všeč pa so
mu motivi, ki se zgledujejo v nadrealizmu.
V naravo gre slikat
malokdaj, saj najraje slika doma. Slikanje mu pomeni sprostitev.
Razstavo si lahko
ogledate vse do 25. 2. 2024 v delovnem času Sokolskega doma:
·        torek–petek: 10.00–12.00 in 17.00–19.00,
·        sobota: 9.30–12.30,
·        nedelja: 9.30–12.30 in 17.00–19.00,
·        ponedeljek in prazniki: zaprto.

Več: Zavod 973, ema.nunar@zavod973.si, Sokolski dom Škofja Loka: 04 511 23 35
"
Pravljica z lutko RADOVEDNI ZAJČEK,18. februar 2024,Železniki Krajevna knjižnica  Železniki Ura pravljivic in ustvarjalna delavnica ,"Več: zelezniki@knjiznica-skofjaloka.si04 510 14 90, 041 442 075
Več: zelezniki@knjiznica-skofjaloka.si
04 510 14 90, 041 442 075

"
Potopisno predavanje DOLGA POT DOMOV Drugi in zadnji del potopisa o neobičajnem potovanju,18. februar 2024,Železniki Krajevna knjižnica  Železniki Potopisno predavanje ,"Po prejadranem Atlantiku in izpolnjenem prvotnem cilju se je postavilo vprašanje: ""Kam pa zdaj?"" Odgovor je bil kmalu jasen: ""Nazaj domov!"" Vendar je bila pot nazaj dolga in vijugasta kot Amazonka, po kateri je potekal njen dobršen del. Nepopisne lepote noči sredi oceana, deževnih gozdov, peščenih plaž in zasneženih Andov sem užival 6 mesecev in prišel vse od Atlantskega oceana do Pacifika ter na poti obiskal 6 južnoameriških držav. Seveda pa ni avanture brez težav, nevarnih situacij in zanimivih ljudi, ki celotno izkušnjo oplemenitijo in poskrbijo za razburljive zgodbe.

Več: zelezniki@knjiznica-skofjaloka.si
04 510 14 90, 041 442 075

"
"Ophéliejino odkrivanje Škofje Loke skozi oči Toneta Mlakarja, razstava fotografij mesta med letoma 1950 in 1970 in leta 2022",19. februar 2024,"Škofja Loka Okrogli stolp, Loški muzej Škofja Loka Kulturni dogodek ","Razstava predstavlja podobe škofjeloške stavbne in urbanistične kulturne dediščine nekoč in danes. Vključuje nabor fotografij iz arhiva Toneta Mlakarja, ki je več kot pet desetletij beležil kroniko Škofje Loke, njene arhitekture in prebivalcev, urbane in podeželske kulturne krajine. Barvne fotografije na razstavi je posnela Ophélie Chapuis iz Francije, študentka umetnostne zgodovine, kulturnega posredovanja in kuriranja razstav na Univerzi v Toursu, ki je bila prostovoljka v okviru Zavoda O v Škofji Loki. V tem času je delala tudi v Loškem muzeju, kjer sta ji nekdanji vodja projektov Branka Gradišar in kustosinja Nina Misson predlagali, da med digitaliziranjem arhiva Toneta Mlakarja pripravi izbor fotografij Škofje Loke in izbrane fotografije tudi sama poustvari. V muzeju smo želeli s tem hkrati spodbuditi drugačne načine raziskovanja stavbne dediščine Škofje Loke: Ophélie Chapuis, le kratek čas živeča v Loki, tako rekoč turistka, se je odpravila po mestnih ulicah v iskanju zgodovine, ki jo je v objektiv ujel Tone Mlakar.

Vabljeni!

Foto: 
Levo: Tone Mlakar, Cerkev Marije Brezmadežne, ok. 1960
Desno: Ophélie Chapuis, Cerkev Marije Brezmadežne, 2022
Več: info@loski-muzej.si, 04 517 04 00
"
Dolgo 19. stoletje: Škofja Loka od leta 1803 do 1914,19. februar 2024,"Škofja Loka info@loski-muzej.si, 04 517 04 00 Kulturna prireditev ","Razstava skozi izbrana poglavja prikazuje utrip življenja in razvoj Škofje Loke, Selške in Poljanske doline z Žirmi od leta 1803, ko je bilo Loško gospostvo podržavljeno, do leta 1914, ko se je začela prva svetovna vojna. Posamezni tematski sklopi se med sabo prepletajo in so umeščeni v širši kontekst velikih zgodovinskih prelomnic avstrijske monarhije, evropskega prostora in nenazadnje sveta.
»Dolgo 19. stoletje« na Loškem je tako zaobjeto s predstavitvijo upravnih sprememb v Ilirskih provincah in avstrijski monarhiji, kulta cesarja, velike revolucije imenovane 'pomlad narodov', društvenega življenja, izzivov na kmetijskem in gospodarskem področju, delovanja šolstva in zdravstva, naravnih katastrof ter vsakdanjega življenja, ki je bilo neločljivo prepleteno s cerkvenim koledarjem in prazniki.

V prizadevanjih za povečevanje dostopnosti razstavnih vsebin, so besedila prevedena v lahko branje in brajico, video vsebine podnaslovljene, posebej označeni predmeti pa so na voljo za dotik.

Vabljeni!

Foto: Veduta Škofje Loke, Wagnerjeve vedute Kranjske, 1842–1848
Več: info@loski-muzej.si, 04 517 04 00
"
Borut Cencel: Smisel življenja,19. februar 2024,Škofja Loka Sokolski dom Škofja Loka razstava ,"Februarja si lahko v
Preddverju Sokolskega doma Škofja Loka ogledate razstavo z naslovom Smisel življenja.
Svoje slike razstavlja Borut Cencel, ki se je rodil v Šentvidu
pri Stični, življenjska pot pa ga je pripeljala v Kranj, kjer živi že štiri
leta. Vedno je rad risal in slikal, sedaj pa se s slikarstvom intenzivno
ukvarja zadnja tri leta. V tem času je razvil svoj slikarski izraz.
Motive upodablja na
lesonit ali platno. Njegove slike spominjajo na naivno slikarstvo, všeč pa so
mu motivi, ki se zgledujejo v nadrealizmu.
V naravo gre slikat
malokdaj, saj najraje slika doma. Slikanje mu pomeni sprostitev.
Razstavo si lahko
ogledate vse do 25. 2. 2024 v delovnem času Sokolskega doma:
·        torek–petek: 10.00–12.00 in 17.00–19.00,
·        sobota: 9.30–12.30,
·        nedelja: 9.30–12.30 in 17.00–19.00,
·        ponedeljek in prazniki: zaprto.

Več: Zavod 973, ema.nunar@zavod973.si, Sokolski dom Škofja Loka: 04 511 23 35
"
AEROBIKA MOŽGANOV Obvezne predhodne prijave,19. februar 2024,Železniki Krajevna knjižnica Železniki Delavnica za odrasle ,"Z vajami za krepitev možganskih funkcij spodbujamo nastajanje novih možganskih povezav, poskrbimo da se stanje ne poslabša in lahko upočasnimo morebitne začetke demence. Na delavnicah bomo izvajali vaje za koncentracijo, spomin, logiko, domišljijo, orientacijo, besedno spretnost ... Vaje bomo izvajali na zabaven način preko igre in tudi smeha ne bo manjkalo. 
Delavnico bo vodila dipl.del.terapevtka Petra Čelik.

Več: zelezniki@knjiznica-skofjaloka.si
04 510 14 90, 041 442 075

"
Dobimo se ob pol desetih,19. februar 2024,Škofja Loka Telovadnica Osnovne šole Škofja Loka-Mesto Počitniške dejavnosti za otroke od 1. do 6. razreda ,"Za otroke bomo organizirali počitniške dejavnosti v času zimskih počitnic. Organizirane bodo športne in ustvarjalne delavnice Otroci bodo počitnice preživeli v družbi prijateljev in animatorjev. Udeležba je za otroke brezplačna.
Več informacij in prijave zbiramo na spletni strani DPM Škofja Loka.

Več: Jelka, 040 334 475, dpm.skofjaloka@gmail.com
"
"Ophéliejino odkrivanje Škofje Loke skozi oči Toneta Mlakarja, razstava fotografij mesta med letoma 1950 in 1970 in leta 2022",20. februar 2024,"Škofja Loka Okrogli stolp, Loški muzej Škofja Loka Kulturni dogodek ","Razstava predstavlja podobe škofjeloške stavbne in urbanistične kulturne dediščine nekoč in danes. Vključuje nabor fotografij iz arhiva Toneta Mlakarja, ki je več kot pet desetletij beležil kroniko Škofje Loke, njene arhitekture in prebivalcev, urbane in podeželske kulturne krajine. Barvne fotografije na razstavi je posnela Ophélie Chapuis iz Francije, študentka umetnostne zgodovine, kulturnega posredovanja in kuriranja razstav na Univerzi v Toursu, ki je bila prostovoljka v okviru Zavoda O v Škofji Loki. V tem času je delala tudi v Loškem muzeju, kjer sta ji nekdanji vodja projektov Branka Gradišar in kustosinja Nina Misson predlagali, da med digitaliziranjem arhiva Toneta Mlakarja pripravi izbor fotografij Škofje Loke in izbrane fotografije tudi sama poustvari. V muzeju smo želeli s tem hkrati spodbuditi drugačne načine raziskovanja stavbne dediščine Škofje Loke: Ophélie Chapuis, le kratek čas živeča v Loki, tako rekoč turistka, se je odpravila po mestnih ulicah v iskanju zgodovine, ki jo je v objektiv ujel Tone Mlakar.

Vabljeni!

Foto: 
Levo: Tone Mlakar, Cerkev Marije Brezmadežne, ok. 1960
Desno: Ophélie Chapuis, Cerkev Marije Brezmadežne, 2022
Več: info@loski-muzej.si, 04 517 04 00
"
Dolgo 19. stoletje: Škofja Loka od leta 1803 do 1914,20. februar 2024,"Škofja Loka info@loski-muzej.si, 04 517 04 00 Kulturna prireditev ","Razstava skozi izbrana poglavja prikazuje utrip življenja in razvoj Škofje Loke, Selške in Poljanske doline z Žirmi od leta 1803, ko je bilo Loško gospostvo podržavljeno, do leta 1914, ko se je začela prva svetovna vojna. Posamezni tematski sklopi se med sabo prepletajo in so umeščeni v širši kontekst velikih zgodovinskih prelomnic avstrijske monarhije, evropskega prostora in nenazadnje sveta.
»Dolgo 19. stoletje« na Loškem je tako zaobjeto s predstavitvijo upravnih sprememb v Ilirskih provincah in avstrijski monarhiji, kulta cesarja, velike revolucije imenovane 'pomlad narodov', društvenega življenja, izzivov na kmetijskem in gospodarskem področju, delovanja šolstva in zdravstva, naravnih katastrof ter vsakdanjega življenja, ki je bilo neločljivo prepleteno s cerkvenim koledarjem in prazniki.

V prizadevanjih za povečevanje dostopnosti razstavnih vsebin, so besedila prevedena v lahko branje in brajico, video vsebine podnaslovljene, posebej označeni predmeti pa so na voljo za dotik.

Vabljeni!

Foto: Veduta Škofje Loke, Wagnerjeve vedute Kranjske, 1842–1848
Več: info@loski-muzej.si, 04 517 04 00
"
Borut Cencel: Smisel življenja,20. februar 2024,Škofja Loka Sokolski dom Škofja Loka razstava ,"Februarja si lahko v
Preddverju Sokolskega doma Škofja Loka ogledate razstavo z naslovom Smisel življenja.
Svoje slike razstavlja Borut Cencel, ki se je rodil v Šentvidu
pri Stični, življenjska pot pa ga je pripeljala v Kranj, kjer živi že štiri
leta. Vedno je rad risal in slikal, sedaj pa se s slikarstvom intenzivno
ukvarja zadnja tri leta. V tem času je razvil svoj slikarski izraz.
Motive upodablja na
lesonit ali platno. Njegove slike spominjajo na naivno slikarstvo, všeč pa so
mu motivi, ki se zgledujejo v nadrealizmu.
V naravo gre slikat
malokdaj, saj najraje slika doma. Slikanje mu pomeni sprostitev.
Razstavo si lahko
ogledate vse do 25. 2. 2024 v delovnem času Sokolskega doma:
·        torek–petek: 10.00–12.00 in 17.00–19.00,
·        sobota: 9.30–12.30,
·        nedelja: 9.30–12.30 in 17.00–19.00,
·        ponedeljek in prazniki: zaprto.

Več: Zavod 973, ema.nunar@zavod973.si, Sokolski dom Škofja Loka: 04 511 23 35
"
